('11:16:05', '11:16:05', '0.007086753845214844')
('20:07:19', '20:07:19', '0.014495611190795898')
('20:09:39', '20:09:39', '0.013949155807495117')
('20:12:03', '20:12:03', '0.029882431030273438')
('20:13:55', '20:13:55', '0.005941152572631836')
('20:14:02', '20:14:02', '0.016557693481445312')
('21:17:24', '21:17:24', '0.014949798583984375')
('20:18:34', '20:18:35', '0.013496160507202148')
('20:19:49', '20:19:49', '0.013860464096069336')
('20:20:24', '20:20:24', '0.012895584106445312')
('20:22:22', '20:22:22', '0.019165992736816406')
('20:23:11', '20:23:11', '0.014383077621459961')
('20:28:42', '20:28:43', '0.013463735580444336')
('20:37:16', '20:37:16', '0.013878583908081055')
('20:40:08', '20:40:08', '0.015595436096191406')
('21:44:40', '21:44:40', '0.013812065124511719')
('21:48:04', '21:48:04', '0.01332998275756836')
('22:09:40', '22:09:40', '0.0059969425201416016')
('09:01:18', '09:01:18', '0.005975961685180664')
('09:04:01', '09:04:02', '0.008746862411499023')
('09:04:48', '09:04:48', '0.007894754409790039')
('09:04:57', '09:04:57', '0.00671839714050293')
('09:16:29', '09:16:29', '0.006273031234741211')
('10:17:41', '09:17:08', '0.00652766227722168')
